index,rank_2027,rank_2026,institution_name,country_territory,region,size,focus,research_intensity,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
1,1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,FO,VH,Private not for Profit,100,4,100,2,100,17,100,14,100,65,91.1,170,94.4,105,100,4,93.2,43=,100
2,2,2,Imperial College London,United Kingdom,Europe,L,CO,VH,Public,99.6,22,100,9,98.9,44,93.8,81,100,86,100,44,98.8,16,96.4,57,98,7=,99.2
3,2,3,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100,5,100,3,100,13,98.8,39,97.9,147,75.1,258,96.8,50,100,2,97.6,14,99.2
4,4,4,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100,2,100,4,100,8,89,113,98.7,138,98.6,87,100,1,100,3,97.4,15,98.6
5,5,5,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100,1,100,1,97.4,57,100,1,86.1,267,73.2,271,99.5,8,100,1,75.6,285=,97.4
6,6,6,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100,3,100,5,100,19,87.4,121,100,91,96.3,125,99.6,6,100,6,77,264=,97.1
7,7,10,California Institute of Technology (Caltech),United States of America,Americas,S,FO,VH,Private not for Profit,97.4,41,99.6,18,100,3,100,4,100,76,92.2,160,64.1,683,95.4,64,77,264=,96.6
8,8,7,ETH Zurich,Switzerland,Europe,L,FO,VH,Public,99.8,17,97.7,33,65,265,98.8,41,100,29,99.5,75,96.7,53,95.2,66,97.7,11=,96.3
9,8,9,UCL,United Kingdom,Europe,XL,FC,VH,Public,99.9,14,99.7,15,90.3,107,86.1,125,99.3,124,100,24,99.9,2,85.6,126,98.9,3,96.3
10,10,8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,100,12,99.1,26,75.3,191,93.5,83,100,45,98.5,91,92.5,141,100,9,91.6,69=,96.2
11,11,11,The University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,99.3,26,88,79,85,137,98.7,43,100,33,100,38,86.9,227,99.9,15,87.1,118=,95.9
12,12,12,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia,L,FC,VH,Public,98,36,95.1,48,82.8,151,90.1,104,100,50,96.5,122,84.2,283,85.9,123,88.7,99=,93.6
13,13,14,Peking University,China (Mainland),Asia,XL,FC,VH,Public,99.9,13,99.8,14,96.3,69,99.2,33,58.3,410,40,512,85.4,262,95,68,68.4,427=,92.6
14,14,17,Tsinghua University,China (Mainland),Asia,XL,FC,VH,Public,99.9,16,99.9,13,96.8,61,99.8,25,50.5,463,37.4,531,83.2,308,94.6,74,67.7,442,92.1
15,15,15,University of Pennsylvania,United States of America,Americas,L,FC,VH,Private not for Profit,98.9,30,99.3,21,99.9,25,68.3,216,97.3,156,73.5,270,89,206,100,5,94.8,30=,91.7
16,16,16,Cornell University,United States of America,Americas,L,FC,VH,Private not for Profit,99.4,25,99.3,23,63.6,277,96.8,65,61,391,75.6,255,95.5,78,99,29,74.6,305,91.5
17,16,21,Yale University,United States of America,Americas,L,FC,VH,Private not for Profit,100,9,100,7,100,10,73.4,194,77.6,311,71.8,278,93.5,120,99.9,16,78,250=,91.5
18,18,32,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Asia,L,FC,VH,Public,94.4,48,75.5,117,79.9,170,95.9,68,100,54,97.2,115,73.7,507,91.3,98,85.2,147=,89.9
19,19,20,The University of New South Wales (UNSW Sydney),Australia,Oceania,XL,FC,VH,Public,96.5,43,94.3,51,24.8,738,94.4,77,100,81,100,48,96.9,46,97.4,46,98,7=,89.8
20,20,24,Johns Hopkins University,United States of America,Americas,L,FC,VH,Private not for Profit,92.6,59,82.3,98,100,9,83,140,70.7,347,98.1,98,97,43,85.7,124,93.3,42,89.7
21,20,17,"University of California, Berkeley (UCB)",United States of America,Americas,XL,FC,VH,Public,100,6,100,6,29.3,658,92.3,88,95.5,185,61.5,351,98,26,99.6,23,97.7,11=,89.7
22,22,22,EPFL – École polytechnique fédérale de Lausanne,Switzerland,Europe,L,FO,VH,Public,93.2,54,87.4,80,84.8,138,90.1,103,100,28,100,23,81.8,344,55,329,88.7,99=,89.6
23,22,19,The University of Melbourne,Australia,Oceania,XL,FC,VH,Public,99.7,19,98.3,31,17.9,801+,89.9,107,97.4,155,100,45,97.4,37,96.4,55,97.7,11=,89.6
24,24,13,University of Chicago,United States of America,Americas,L,FC,VH,Private not for Profit,99.7,20,98.6,27,97.5,55,60.9,272,85.7,269,94.5,146,84.1,288,99.9,17,73,328=,89.2
25,25,22,Technical University of Munich,Germany,Europe,XL,CO,VH,Public,92.6,58,99.5,19,57.4,329,92.9,86,86.8,261,97.3,114,96.2,70,60.6,272,86.8,126=,89.1
26,26,30,Fudan University,China (Mainland),Asia,XL,FC,VH,Public,94.3,49,97.1,37,83.1,149,94.9,73,86.8,259,43.7,471,80.4,376,66.6,237,85.7,140,89
27,27,25,Princeton University,United States of America,Americas,M,CO,VH,Private not for Profit,100,10,99.9,12,64.1,274,100,3,9.6,801+,70.8,285,80.9,366,99.8,19,74.5,306=,88.9
28,28,25,The University of Sydney,Australia,Oceania,XL,FC,VH,Public,99,29,95.5,46,14.3,801+,90.3,101,99.9,108,100,25,95.2,85,91.9,95,97,16,88.4
29,29,32,Australian National University (ANU),Australia,Oceania,L,FC,VH,Public,97.9,37,84.9,89,41.3,476,89.1,112,100,60,99.3,77,93.2,127,68,227,96.9,17=,87.6
30,30,27,McGill University,Canada,Americas,XL,FC,VH,Public,98.2,33,95.9,45,64.9,268,64.8,245,86.9,258,92,162,95.2,84,98.3,36,97.9,9,87.5
31,31,36,Monash University,Australia,Oceania,XL,FC,VH,Public,96.2,45,91.5,70,8.3,801+,97.5,55,100,69,100,37,94.7,99,80,165,94,37,87
32,32,29,University of Toronto,Canada,Americas,XL,FC,VH,Public,100,11,99.5,20,38,530,64.5,248,97.8,151,97.4,111,97.5,36,98.2,37,99.8,2,86.8
33,33,44,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Asia,M,FO,VH,Public,89.9,70,73.8,123,70.2,220,100,16,100,22,99.9,57,46.4,801+,86.5,120,81.1,208=,86.4
34,34,28,Université PSL,France,Europe,L,CO,VH,Public,80.1,97,97.3,36,98.7,48,78.9,165,66.9,365,71.8,280,99.7,3,97.9,41,85,151=,86
35,35,34,The University of Edinburgh,United Kingdom,Europe,XL,FC,VH,Public,99.6,23,98.4,29,81.9,160,46.9,401,99.8,112,99.9,56,99.4,10,63.1,257,98.6,4,85.9
36,36,47,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,Public,93.4,53,96.3,43,66.6,251,100,13,53.8,438,19.7,741,81.7,347,82.5,151,82.8,183=,85.8
37,37,31,King's College London,United Kingdom,Europe,XL,FC,VH,Public,96.3,44,92.8,62,69.6,224,59.9,277,99.6,119,99.1,80,97.7,32,72.5,202,96.9,17=,85.7
38,38,38,Seoul National University,Republic of Korea,Asia,L,FC,VH,Public,99.7,18,99.1,25,84.7,140,80.7,152,11.9,801+,25.5,656,76.2,460,100,7,93.9,38=,85.4
39,39,36,The University of Tokyo,Japan,Asia,L,FC,VH,Public,100,7,99.9,10,91.1,99,64.6,246,14.8,801+,42.3,484,94.1,109,100,11,92.8,48=,84.8
40,40,35,The University of Manchester,United Kingdom,Europe,XL,FC,VH,Public,98.5,32,98.5,28,61.3,294,48.8,379,93.4,209,99.6,72,99.5,7,86.7,119,97.8,10,84.6
41,40,42,The University of Queensland,Australia,Oceania,XL,FC,VH,Public,94.7,47,83.2,94,22.4,789,92.2,90,100,63,100,40,96.8,49,59.3,286,92.6,50=,84.6
42,42,50,Yonsei University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,92.4,61,95.3,47,84,145,74.2,186,28.2,617,77.8,241,79.1,400,93,88,89.5,93=,84.2
43,43,38,Columbia University,United States of America,Americas,XL,FC,VH,Private not for Profit,99.9,15,99.9,11,100,16,37.7,498,47.1,486,98,101,98.8,15,100,8,75.3,294=,84
44,43,41,Institut Polytechnique de Paris,France,Europe,M,CO,VH,Public,57,191,99.3,22,96.5,64,89.5,111,99.2,125,99.2,79,91.6,156,99.9,13,88,109,84
45,45,42,Northwestern University,United States of America,Americas,L,FC,VH,Private not for Profit,92.5,60,91.8,66,99.5,36,63.8,251,52.5,450,68.4,302,87.2,224,99.5,26,72.7,340=,83.8
46,45,40,University of British Columbia,Canada,Americas,XL,FC,VH,Public,99.6,24,96.8,40,27.1,691,69.6,212,98.5,140,73.8,267,96.9,47,78.9,168,98.4,5,83.9
47,47,49,Zhejiang University,China (Mainland),Asia,XL,FC,VH,Public,88.3,73,96.1,44,57.2,332,99.4,30,82.6,285,21.9,714,94.4,104,66,241,64,529,83.5
48,48,47,Delft University of Technology,Netherlands,Europe,L,CO,VH,Public,87.1,78,86,84,43.8,446,84,134,100,78,95.1,137,92.8,136,64.4,247,94.2,35=,83.1
49,49,46,"University of California, Los Angeles (UCLA)",United States of America,Americas,XL,FC,VH,Public,100,8,100,8,42.9,459,79.2,163,46.4,488,29,610,93.9,113,96.2,58,75.5,287=,82.7
50,50,54,The Hong Kong Polytechnic University,"Hong Kong SAR, China",Asia,L,CO,VH,Public,81.6,93,52.2,232,81.4,166,98.7,44,100,38,99.7,66,79.7,390,72.6,201,79.7,231,82.3
51,51,45,University of Michigan-Ann Arbor,United States of America,Americas,XL,FC,VH,Public,99.3,27,97.5,35,84.3,141,46.8,402,71.5,342,49.5,425,96,72,97.9,42,75.3,294=,82.2
52,52,63,City University of Hong Kong (CityUHK),"Hong Kong SAR, China",Asia,M,CO,VH,Public,77.2,104,56,202,94.6,84,100,2,100,16,100,11,66.7,638,59.4,282,82.2,192=,81.9
53,52,61,Korea University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,90.1,69,94.2,53,76.9,183,70.4,208,26.7,640,75.7,253,84.4,278,92.9,89,89.5,93=,81.9
54,54,63,National Taiwan University (NTU),Taiwan,Asia,L,FC,VH,Public,97.7,38,92.2,64,43.4,451,79.8,158,23.8,682,70.4,290,68.9,597,100,10,91.5,72=,81.7
55,55,52,Carnegie Mellon University,United States of America,Americas,L,FC,VH,Private not for Profit,77.1,106,93.7,56,48.6,399,98.8,38,50.1,467,98.6,86,81.1,364,84.2,139,68.7,422=,81.4
56,56,58,Universiti Malaya (UM),Malaysia,Asia,L,FC,VH,Public,92.8,56,93.1,61,64.4,269,54.6,320,83.7,276,93.1,153,93.4,125,76.5,184,83.8,166=,81.2
57,57,51,University of Bristol,United Kingdom,Europe,XL,FC,VH,Public,88.1,74,92.1,65,29,665,78.3,166,90.1,234,91.6,167,96.6,54,57.6,301,96.6,19,80.9
58,58,55,New York University (NYU),United States of America,Americas,XL,FC,VH,Private not for Profit,98.6,31,99.6,17,85.4,132,29.4,595,38,533,99.9,58,94.8,93,99,28,95.9,20,80.8
59,59,60,KU Leuven,Belgium,Europe,XL,FC,VH,Public,93.6,52,70.2,140,8.2,801+,93.9,80,95.9,173,66.7,315,99.6,4,78.3,175,95.4,22=,80.5
60,60,53,University of Amsterdam,Netherlands,Europe,XL,FC,VH,Public,93,55,70.5,136,29.5,652,80.9,149,99.7,115,95.9,130,94.8,95,83.3,146,68.9,415=,80.2
61,61,58,Ludwig-Maximilians-Universität München,Germany,Europe,XL,FC,VH,Public,97.3,42,93.3,59,38.9,513,62.2,264,82.2,289,57.5,374,95.2,87,70.7,209,88.3,103=,79.6
62,62,56,The London School of Economics and Political Science (LSE),United Kingdom,Europe,L,FO,VH,Public,81.3,95,99.7,16,50.3,380,50.3,367,100,46,100,17,80.4,374,100,12,98.3,6,78.8
63,63,67,KFUPM,Saudi Arabia,Asia,M,CO,VH,Public,50.2,228,82.9,97,92,96,97.3,61,100,30,84.1,214,84.2,285,99.9,14,66.8,466=,78.3
64,64,57,Kyoto University,Japan,Asia,L,FC,VH,Public,99.7,21,99.3,24,94.8,83,41.2,461,22.4,697,27.2,635,85.7,257,84,141,87.6,114=,78.2
65,65,,KAIST,Republic of Korea,Asia,M,FO,VH,Public,95.7,46,93.5,58,82.5,157,89.9,106,24.3,673,16.9,796,48.2,801+,78.2,177,,,77.7
66,66,69,Brown University,United States of America,Americas,M,FC,VH,Private not for Profit,74,122,73.2,127,82.6,155,78,168,91.7,221,65.3,327,82.3,330,88.8,111,72,354,77.4
67,67,65,The University of Auckland,New Zealand,Oceania,XL,FC,VH,Public,92.2,62,61.8,177,14.1,801+,72.4,197,100,87,97.6,109,88.8,207,95,71,95,28,77
68,68,74,The University of Warwick,United Kingdom,Europe,L,FC,VH,Public,83.6,86,94.1,54,43.1,454,46.5,405,99.4,122,98.4,93,93.9,114,72.8,199,90.6,83=,75.9
69,68,76,University of Birmingham,United Kingdom,Europe,XL,FC,VH,Public,82.1,91,80.9,101,39,511,67.4,224,92.8,213,96.6,120,96.5,59,49,371,93.2,43=,75.9
70,70,62,Duke University,United States of America,Americas,L,FC,VH,Private not for Profit,91.8,64,88.4,77,100,5,38.4,489,17.4,783,60.1,362,91.3,162,96.4,56,75.5,287=,75.8
71,71,72,Lund University,Sweden,Europe,L,FC,VH,Public,81.3,94,66.3,157,71.7,205,51,360,99.2,127,82.8,219,97.7,33,95.2,67,100,1,75.7
72,72,68,University of Texas at Austin,United States of America,Americas,XL,FC,VH,Public,97.4,40,97.7,34,9.7,801+,80.8,150,9.2,801+,18,773,91.7,154,89.9,103,71,374=,75.3
73,73,72,Sorbonne University,France,Europe,XL,FC,VH,Public,92.6,57,65.5,162,60,306,62.9,258,32.4,585,65,329,99.2,13,78,179,91.8,61=,74.8
74,74,70,University of Illinois Urbana-Champaign,United States of America,Americas,XL,FC,VH,Public,91.2,67,89.6,74,7.6,801+,80.6,154,12.3,801+,68.5,301,91.7,155,87.5,115,74.5,306=,74.7
75,75,75,"Trinity College Dublin, The University of Dublin",Ireland,Europe,L,FC,VH,Public,83.7,85,68.5,149,30.3,636,59.5,280,100,99,96.9,118,89.5,195,95.5,63,94.9,29,74.4
76,76,70,Université Paris-Saclay,France,Europe,XL,CO,VH,Public,76.7,108,98.3,30,100,21,33,551,43.4,499,70.5,288,98.7,17,79.4,166,93.1,45,73.8
77,77,77,The University of Western Australia,Australia,Oceania,L,FC,VH,Public,69.9,140,55.6,207,11.7,801+,98.8,42,100,71,100,41,93.4,124,81.9,155,88.3,103=,73.7
78,77,86,University of Leeds,United Kingdom,Europe,XL,FC,VH,Public,82.7,90,83.2,93,41,483,51.3,357,93.1,210,91.5,169,99.5,9,57.6,300,95.3,24=,73.7
79,79,82,Adelaide University,Australia,Oceania,XL,CO,VH,,78.6,101,66,159,24.1,751,75.1,180,100,101,98.4,92,97,41,64.1,250,89.8,90,73.6
80,80,79,University of Glasgow,United Kingdom,Europe,XL,FC,VH,Public,88.9,72,70.6,135,41.2,477,51.8,349,97.7,153,98,104,97.9,28,39.8,460,95.2,27,73.4
81,81,66,"University of California, San Diego (UCSD)",United States of America,Americas,XL,FC,VH,Public,93.6,51,86.2,83,59.6,311,61.9,268,27.5,628,47.8,432,92.1,145,35.4,504,71.8,357=,73.3
82,82,78,KTH Royal Institute of Technology,Sweden,Europe,L,CO,VH,Public,61.6,171,61.1,181,61.9,289,83.6,137,95.5,183,82.5,220,91,168,77.3,181,92.3,53=,72.7
83,82,92,The University of Sheffield,United Kingdom,Europe,L,FC,VH,Public,74.4,120,68.1,150,39.5,503,76,177,82.3,288,98,103,98,25,44,424,94.3,33=,72.7
84,84,84,Universidad de Buenos Aires (UBA),Argentina,Americas,XL,FC,VH,Public,98.1,34,91.7,68,85.3,133,2.1,801+,71.1,343,81.8,223,75,485,99.6,24,71.5,367,72.3
85,85,94,Durham University,United Kingdom,Europe,L,FC,VH,Public,75.5,114,94.7,49,29.5,653,50.9,362,97.7,152,94.6,143,90.4,177,52.7,345,95.3,24=,71.7
86,86,80,Universität Heidelberg,Germany,Europe,L,CO,VH,Public,87.5,75,65.5,163,99.6,34,35.2,529,67.3,363,69.1,300,93.7,117,31.9,554,85.2,147=,70.6
87,87,98,Politecnico di Milano,Italy,Europe,XL,CO,VH,Public,84.5,84,93.6,57,8.9,801+,54.2,328,75.9,321,72.9,273,84.2,284,66.3,240,86.2,134=,70.5
88,87,96,University of Technology Sydney,Australia,Oceania,XL,CO,VH,Public,60.9,175,69.2,145,9.3,801+,98.9,37,97.6,154,91.5,168,91.5,159,48,384,91.6,69=,70.5
89,87,93,Uppsala University,Sweden,Europe,L,FC,VH,Public,76.1,110,47.7,270,70.9,213,52.8,338,99.7,116,81.9,222,96.9,45,82.3,153,94.6,32,70.5
90,90,103,Nanjing University,China (Mainland),Asia,XL,FC,VH,Public,74.4,119,72.3,129,34.4,565,99,35,88.5,246,14.9,801+,65,670,33.8,518,75.7,283=,70.4
91,90,101,University of Copenhagen,Denmark,Europe,XL,FC,VH,Public,86.5,79,45.3,298,98.8,46,42.4,443,95.5,182,23.4,684,98.2,21,91.6,96,74.4,312=,70.4
92,92,82,Pennsylvania State University,United States of America,Americas,XL,FC,VH,Public,85.1,82,83.6,92,24.7,742,63.2,255,37.1,547,34.8,558,97.5,35,72.6,200,95.7,21,70.2
93,92,81,University of Washington,United States of America,Americas,XL,FC,VH,Public,90.6,68,80.1,103,60.5,304,49.9,373,13.8,801+,40.9,502,95.5,79,74,193,72.6,342=,70.2
94,94,88,Boston University,United States of America,Americas,L,FC,VH,Private not for Profit,75.7,112,83.1,95,38.7,517,57,301,36.7,551,90,182,86.2,247,82.8,148,93.5,41,70
95,95,91,The University of Osaka,Japan,Asia,L,FC,VH,Public,89.8,71,91.7,69,37.3,535,62.9,259,28.2,616,19.1,748,71.6,545,48,383,81.6,202=,69.5
96,96,94,University of Alberta,Canada,Americas,XL,FC,VH,Public,72.5,127,56,203,40.7,488,67.4,225,99.6,118,74.2,262,94,110,71,208,91.3,74=,69.3
97,97,,Institute of Science Tokyo,Japan,Asia,L,FO,VH,,87.4,76,96.4,42,99.1,42,33.4,547,19.6,744,40.5,508,76.4,456,34,515,66.3,477,69.2
98,97,97,University of Nottingham,United Kingdom,Europe,XL,FC,VH,Public,75.7,113,77.3,109,40.6,491,49.6,375,93.7,206,81.3,225,97.7,34,49,372,93.9,38=,69.2
99,98,88,Freie Universitaet Berlin,Germany,Europe,L,CO,VH,Public,87.1,77,56.9,198,8.3,801+,84.5,131,68.5,358,56.1,382,93.6,118,44.1,422,67.4,450=,69
100,98,100,University of Zurich,Switzerland,Europe,L,CO,VH,Public,72.8,124,44,305,96.4,67,46.7,404,100,85,54.7,391,93.8,116,89.3,108,91.3,74=,69
101,100,88,Purdue University,United States of America,Americas,XL,FC,VH,Public,73.9,123,91.2,72,13.2,801+,56.3,309,99.2,128,51.3,414,90,186,74.1,192,88.5,102,68.7
102,100,118,University College Dublin,Ireland,Europe,L,FC,VH,Public,68.8,144,63.4,168,15.4,801+,67.5,223,99.2,126,92.1,161,93.1,131,90.6,100,92.9,47,68.7
103,102,109,Tohoku University,Japan,Asia,L,FC,VH,Public,85.2,81,89.2,76,96.2,72,38.4,488,26.1,649,18.4,765,73.9,501,36,494,86.8,126=,68.4
104,103,110,Queen Mary University of London,United Kingdom,Europe,L,FC,VH,Public,65.7,153,57.7,194,24,753,83.4,138,99.9,109,100,51,91.9,150,37.1,482,86.9,122=,68.3
105,104,105,RWTH Aachen University,Germany,Europe,L,FC,VH,Public,59.8,183,94,55,11.1,801+,79.5,160,57.6,416,95,138,86.5,238,52,349,86.2,134=,68
106,105,107,Technical University of Denmark,Denmark,Europe,M,FO,VH,Public,46.8,254,41.1,332,96.7,62,84.9,128,100,56,95.8,132,86.9,228,66.8,235,68.6,425,67.8
107,106,102,Pohang University of Science And Technology (POSTECH),Republic of Korea,Asia,S,FO,VH,Private not for Profit,62.1,167,74.2,121,99.7,31,99.3,31,27,637,3.5,801+,27.2,801+,31.5,560,72.4,344=,67.7
108,107,143,King Saud University,Saudi Arabia,Asia,XL,FC,VH,Public,56.1,197,67.7,152,47.4,412,77.1,174,100,100,36.2,546,98,24,98.8,31,71.6,364=,67.4
109,108,126,Sungkyunkwan University (SKKU),Republic of Korea,Asia,L,FC,VH,Private not for Profit,68.6,145,74.8,119,82.6,154,69.1,213,24.1,679,66.1,320,52.8,801+,41.5,444,82.7,187,67.3
110,109,112,Qatar University,Qatar,Asia,M,FC,VH,Public,46.1,262,44.4,301,69.9,222,82.3,146,100,27,97.9,105,89.8,189,99.7,22,76.7,270,67.2
111,110,98,"KIT, Karlsruhe Institute of Technology",Germany,Europe,L,FO,VH,Public,56.3,195,85.5,86,49.6,387,67.8,219,80.7,297,61.4,353,88.3,210,61.6,262,83.5,169=,67
112,111,128,Sapienza University of Rome,Italy,Europe,XL,FC,VH,Public,91.5,65,73.6,124,6,801+,67.2,228,3.6,801+,14.3,801+,96.4,61,85.9,122,82.6,188=,66.7
113,111,87,University of Southampton,United Kingdom,Europe,L,FC,VH,Public,60.6,178,56.5,200,32.3,594,74.9,181,95.5,186,96.6,121,96.6,55,54.8,332,92.3,53=,66.7
114,113,119,University of Waterloo,Canada,Americas,XL,CO,VH,Public,55.4,200,74.8,120,7.1,801+,89.7,110,80,302,79.7,231,82.1,334,69.2,217,91.6,69=,66.6
115,113,103,Utrecht University,Netherlands,Europe,XL,FC,VH,Public,80.6,96,47.9,269,42.5,465,73.7,190,60.7,393,28.4,620,96.6,56,69,218,70.9,381=,66.6
116,115,105,Lomonosov Moscow State University,Russian Federation,Europe,XL,FC,VH,Public,78,103,93.2,60,99.8,29,6.2,801+,22.7,693,94.5,145,86.3,242,97.6,45,45.5,801+,65.9
117,115,113,University of St Andrews,United Kingdom,Europe,M,FC,VH,Public,63.6,161,77,110,55.3,343,46.4,406,99.1,131,100,53,87.1,225,35,508,88.2,106,65.9
118,118,123,Indian Institute of Technology Delhi (IITD),India,Asia,M,FO,VH,Public,64.6,157,96.9,39,17.2,801+,97.3,60,3.4,801+,1.7,801+,66.5,647,59.6,280,81.2,205=,65.7
119,119,119,Leiden University,Netherlands,Europe,XL,FC,VH,Public,81.7,92,50.6,245,27,696,61.1,271,89.7,236,70.8,284,93.4,122,53.3,340,65.5,492=,65.6
120,119,116,Pontificia Universidad Católica de Chile (UC),Chile,Americas,L,FC,VH,Private not for Profit,98.1,35,96.6,41,38.3,526,13,801+,38.9,530,7.1,801+,79.7,391,99.8,20,80.9,213=,65.6
121,119,125,RMIT University,Australia,Oceania,XL,CO,VH,Public,57.5,189,58.4,192,6,801+,91.9,93,100,48,95.5,135,81.6,349,46.2,400,89.2,96,65.6
122,122,119,Rice University,United States of America,Americas,M,CO,VH,Private not for Profit,53,212,51.6,240,79.3,173,69.4,212,95.2,191,96.1,127,69.8,576,55.9,318,84.5,157=,65.5
123,123,138,Alma Mater Studiorum - Università di Bologna,Italy,Europe,XL,FC,VH,Public,91.3,66,70.3,138,5.8,801+,57.7,297,30,601,34.6,561,96.3,65,58.8,292,85,151=,65.3
124,123,116,University of Helsinki,Finland,Europe,L,CO,VH,Public,75.1,116,36.8,372,65.9,258,59.7,279,77.4,314,13.4,801+,96,71,92.7,92,95.4,22=,65.3
125,125,132,University of Bath,United Kingdom,Europe,L,CO,VH,Public,51.6,218,83.8,91,16.3,801+,75.8,179,95.5,184,84.2,212,83.4,303,50.8,357,92.2,56,65.1
126,126,114,Aalto University,Finland,Europe,L,FO,VH,Public,59,185,53.9,220,32.2,596,74,187,97.8,150,54.5,394,81.6,348,98.1,39,91.8,61=,65
127,126,138,"Macquarie University (Sydney, Australia)",Australia,Oceania,L,FC,VH,Public,51.1,220,62.3,174,10.3,801+,87.7,119,100,83,98.4,95,90.8,175,58.9,291,88.8,98,65
128,128,131,Aarhus University,Denmark,Europe,L,FC,VH,Public,70.5,136,41,333,45,436,70.5,207,98.3,142,36.8,536,97,42,76.8,182,72.7,340=,64.9
129,128,134,Universiti Sains Malaysia (USM),Malaysia,Asia,L,FC,VH,Public,77.2,105,69.9,141,51.1,373,45.5,417,42,511,99.8,61,94.6,100,27,620,78.2,247=,64.9
130,130,126,Universiti Kebangsaan Malaysia (UKM),Malaysia,Asia,L,FC,VH,Public,76.1,111,66.4,156,70.6,218,36.8,506,44.6,495,97.3,113,89.4,197,36.2,491,81.1,208=,64.6
131,131,119,University of Oslo,Norway,Europe,L,FC,VH,Public,69.8,142,25,555,71.7,206,65.1,243,95.3,189,42.3,485,96.7,52,85.3,133,71,374=,64.3
132,131,110,University of Wisconsin-Madison,United States of America,Americas,XL,FC,VH,Public,85,83,56.4,201,87.5,118,23.1,697,60,400,35.7,550,88.3,212,85.5,127,71.3,371=,64.3
133,133,108,Universidade de São Paulo,Brazil,Americas,XL,FC,VH,Public,97.4,39,71.3,132,26.9,697,34.4,534,6.4,801+,3.7,801+,96.5,58,96.8,50,89.7,91=,64.1
134,134,129,Indian Institute of Technology Bombay (IITB),India,Asia,L,FO,VH,Public,72.5,126,97.8,32,14,801+,79.3,161,4.1,801+,1.6,801+,42.1,801+,78.2,176,79.4,235,63.9
135,134,132,University of Science and Technology of China,China (Mainland),Asia,L,FO,VH,Public,54.2,208,55.8,205,99.1,41,98.6,46,15.3,801+,6.5,801+,78.7,406,39.2,464,55.5,741=,63.9
136,136,155,University of Exeter,United Kingdom,Europe,L,FC,VH,Public,60.2,180,61.1,180,33.5,581,66.5,232,91.5,224,74.1,263,97.2,38,38.6,470,92.8,48=,63.5
137,137,114,"University of California, Davis",United States of America,Americas,XL,FC,VH,Public,72.3,129,61.8,176,26.5,705,60,276,90.7,230,58.6,369,91,170,33.3,529,76,280,63
138,138,134,Universiti Putra Malaysia (UPM),Malaysia,Asia,L,FC,VH,Public,74.8,117,63.1,170,70.8,216,38,493,47.9,483,99.6,73,85.3,265,22.1,728,73.5,325,62.9
139,139,147,University of Liverpool,United Kingdom,Europe,L,FC,VH,Public,61,174,52.4,231,29.4,655,65.7,239,94,203,87.2,194,98.1,22,42.5,434,91.7,64=,62.8
140,140,130,Humboldt-Universität zu Berlin,Germany,Europe,XL,CO,VH,Public,94.1,50,64.5,166,9.4,801+,44.6,425,73.8,335,45.2,456,96.3,64,24.3,685,58.8,651=,62.6
141,140,152,University of Vienna,Austria,Europe,XL,FC,VH,Public,83.6,87,52.7,228,27.7,676,21.8,714,100,72,97.8,106,95.9,74,88,114,70.3,393=,62.6
142,142,123,Georgia Institute of Technology,United States of America,Americas,XL,CO,VH,Public,76.4,109,94.2,52,36.2,544,42.4,449,19.4,748,44.7,462,78.1,412,62.1,259,65,503=,62.5
143,142,176,National Tsing Hua University - NTHU,Taiwan,Asia,M,CO,VH,Public,66,151,76.9,111,34.8,561,80.8,151,35.3,559,50.1,422,41.9,801+,32.6,541,72.6,342=,62.5
144,142,151,Western University,Canada,Americas,XL,FC,VH,Public,44.2,276,57.7,195,4.5,801+,91.8,95,100,103,59.2,364,86.2,246,97.1,47,95.3,24=,62.5
145,145,136,Universidad Nacional Autónoma de México  (UNAM),Mexico,Americas,XL,FC,VH,Public,99.3,28,91.8,67,38.1,528,4.2,801+,11,801+,3.1,801+,95.2,86,94.2,81,80.4,222=,62.3
146,146,177,Tongji University,China (Mainland),Asia,XL,FC,VH,Public,48.4,241,52.9,225,33.3,582,99.8,22,95.7,178,50.5,419,80.3,378,29,595,75.3,294=,62.2
147,147,177,Khalifa University,United Arab Emirates,Asia,S,FO,VH,Public,37.1,323,39.7,342,83.3,147,92.5,87,100,12,89.3,185,83.3,306,21.5,740,70.9,381=,62
