index,rank_2027,rank_2026,institution_name,country_territory,region,size,focus,research_intensity,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
491,488,461,Novosibirsk State University,Russian Federation,Europe,M,CO,VH,Public,24.1,515,42.9,313,93.5,89,9.3,801+,8.4,801+,67.4,308,50,801+,17.5,801+,40.8,801+,33
492,488,535,Prince Sultan University,Saudi Arabia,Asia,M,SP,VH,Private not for Profit,9.2,701+,12.4,701+,15.4,801+,74.4,184,100,41,14.4,801+,68.6,601,23.3,708,54.8,755=,33
493,488,519,University of Electronic Science and Technology of China,China (Mainland),Asia,XL,FO,VH,Public,7.8,701+,25.6,545,8.6,801+,99.9,20,3.6,801+,3.2,801+,82.5,319,10.2,801+,41.8,801+,33
494,494,420,National Taipei University of Technology,Taiwan,Asia,M,FO,VH,Public,15.9,701+,43.9,306,27.1,688,54.3,326,21.5,714,29.7,605,27.2,801+,36.3,490,62.8,556=,32.7
495,494,558,Sogang University,Republic of Korea,Asia,M,CO,VH,Private not for Profit,30.6,406,58.9,189,57.2,330,8,801+,11.3,801+,40.7,504,29,801+,26,645,61.2,592=,32.7
496,496,515,Universitas Padjadjaran (UNPAD),Indonesia,Asia,XL,CO,VH,Public,32.7,375,48.2,265,60.7,302,2.3,801+,56.7,421,4.3,801+,38.5,801+,41.3,449,61,596=,32.6
497,497,465,Concordia University,Canada,Americas,XL,CO,VH,Public,22.9,539,18.1,701+,4.4,801+,33.9,542,34.7,563,89.3,186,76.9,443,52.4,346,82.6,188=,32.5
498,497,509,Institut Teknologi Sepuluh Nopember (ITS Surabaya),Indonesia,Asia,L,CO,VH,Public,30.5,408,52.1,235,58.9,320,2.9,801+,84.2,272,18.2,769,29.2,801+,15.8,801+,55.4,745,32.5
499,497,511,University of Bradford,United Kingdom,Europe,M,CO,VH,Public,12,701+,10,701+,9.3,801+,44.8,424,72.6,339,97.3,112,75.2,477,50.5,361,75.1,297=,32.5
500,500,452,Johannes Gutenberg Universität Mainz,Germany,Europe,L,CO,VH,Public,31.4,391,13.1,701+,70.8,215,16.7,801+,52.1,455,25.8,651,84,291,15.9,801+,55.5,741=,32.4
501,500,477,Universität Potsdam,Germany,Europe,L,FO,VH,Public,22.8,543,9.1,701+,32.1,601,41.8,451,65.3,374,32.1,586,93.1,132,8.6,801+,74.7,302=,32.4
