univ_code,slug,name_cn,name_en,province,city,admin_type,category,level,education_level,current_rank,is_vocational,is_double_first_class,is_985,is_211,is_cooperative,is_private,is_independent_college
RC00816,guangxi-vocational-normal-university,广西职业师范学院,Guangxi Vocational Normal University,广西,南宁市,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC00638,guilin-university-of-aerospace-technology,桂林航天工业学院,Guilin University of Aerospace Technology,广西,桂林市,地方公办,理工,地方公办,10,500+,false,false,false,false,false,false,false
RC00696,guizhou-university-of-engineering-science,贵州工程应用技术学院,Guizhou University of Engineering Science,贵州,毕节市,地方公办,师范,地方公办,10,500+,false,false,false,false,false,false,false
RC00196,handan-college,邯郸学院,Handan University,河北,邯郸市,地方公办,师范,地方公办,10,500+,false,false,false,false,false,false,false
RC01253,hanjiang-normal-university,汉江师范学院,Hanjiang Normal University,湖北,十堰市,地方公办,师范,地方公办,10,500+,false,false,false,false,false,false,false
RC00806,hebei-university-of-environmental-engineering,河北环境工程学院,Hebei University of Environmental Engineering,河北,秦皇岛市,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC00185,hebei-university-of-architecture,河北建筑工程学院,Hebei University of Architecture,河北,张家口市,地方公办,理工,地方公办,10,500+,false,false,false,false,false,false,false
RC01243,hebei-university-of-water-resources-and-electric-engineering,河北水利电力学院,Hebei University of Water Resources and Electric Engineering,河北,沧州市,地方公办,理工,地方公办,10,500+,false,false,false,false,false,false,false
RC00630,hechi-university,河池学院,Hechi University,广西,河池市,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC01070,jianghuai-college-of-anhui-university,合肥理工学院,Hefei Institute of Technology,安徽,合肥市,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC00326,heihe-university,黑河学院,Heihe University,黑龙江,黑河市,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC00324,heilongjiang-university-of-technology,黑龙江工业学院,Heilongjiang University of Technology,黑龙江,鸡西市,地方公办,理工,地方公办,10,500+,false,false,false,false,false,false,false
RC01252,henan-institute-of-technology,河南工学院,Henan Institute of Technology,河南,新乡市,地方公办,理工,地方公办,10,500+,false,false,false,false,false,false,false
RC00511,henan-university-of-animal-husbandry-and-economy,河南牧业经济学院,Henan University of Animal Husbandry and Economy,河南,郑州市,地方公办,农业,地方公办,10,500+,false,false,false,false,false,false,false
RC00194,hengshui-university,衡水学院,Hengshui University,河北,衡水市,地方公办,师范,地方公办,10,500+,false,false,false,false,false,false,false
RC00242,hetao-college,河套学院,Hetao college,内蒙古,巴彦淖尔市,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC00486,heze-university,菏泽学院,Heze University,山东,菏泽市,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC00715,honghe-university,红河学院,Honghe University,云南,红河哈尼族彝族自治州,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC00240,hulunbuir-university,呼伦贝尔学院,Hulunbuir University,内蒙古,呼伦贝尔市,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC00560,jingchu-university-of-technology,荆楚理工学院,Jingchu University of Technology,湖北,荆门市,地方公办,理工,地方公办,10,500+,false,false,false,false,false,false,false
RC00455,jingdezhen-university,景德镇学院,Jingdezhen University,江西,景德镇市,地方公办,综合,地方公办,10,500+,false,false,false,false,false,false,false
RC00241,jining-normal-university,集宁师范学院,Jining Normal University,内蒙古,乌兰察布市,地方公办,师范,地方公办,10,500+,false,false,false,false,false,false,false
RC00220,jinzhong-university,晋中学院,Jinzhong University,山西,晋中市,地方公办,师范,地方公办,10,500+,false,false,false,false,false,false,false
RC00783,kashi-university,喀什大学,Kashi University,新疆,喀什地区,地方公办,师范,地方公办,10,500+,false,false,false,false,false,false,false
RC00769,lanzhou-institute-of-technology,兰州工业学院,Lanzhou Institute of Technology,甘肃,兰州市,地方公办,理工,地方公办,10,500+,false,false,false,false,false,false,false
